movie,production_budget,domestic_gross_x,foreign_gross_x,year_x,title,domestic_gross_y,foreign_gross_y,year_y
Somewhere,7000000,1785645,17023121,2010,Somewhere,1800000.0,12200000,2010
Country Strong,15000000,20218921,20601987,2010,Country Strong,20200000.0,310000,2010
Yogi Bear,80000000,100246011,204774690,2010,Yogi Bear,100200000.0,101300000,2010
Casino Jack,12500000,2039869,2272186,2010,Casino Jack,1000000.0,40700,2010
Rabbit Hole,5000000,2229058,6205034,2010,Rabbit Hole,2200000.0,2900000,2010
The Tourist,100000000,67631157,278731369,2010,The Tourist,67600000.0,210700000,2010
The Tempest,20000000,277943,277943,2010,The Tempest,278000.0,68700,2010
The Fighter,11000000,93617009,129262388,2010,The Fighter,93600000.0,35600000,2010
The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000,104386950,418186950,2010,The Chronicles of Narnia: The Voyage of the Dawn Treader,104400000.0,311300000,2010
All Good Things,20000000,582024,873617,2010,All Good Things,582000.0,62500,2010
The Warrior's Way,42000000,5666340,8514325,2010,The Warrior's Way,5700000.0,5400000,2010
Black Swan,13000000,106954678,331266710,2010,Black Swan,107000000.0,222400000,2010
"I Love You, Phillip Morris",13000000,2037459,23014027,2010,"I Love You, Phillip Morris",2000000.0,18700000,2010
Love and Other Drugs,30000000,32367005,102716321,2010,Love and Other Drugs,32400000.0,70500000,2010
The Nutcracker in 3D,90000000,195459,20466016,2010,The Nutcracker in 3D,195000.0,16000000,2010
Burlesque,55000000,39440655,90552675,2010,Burlesque,39400000.0,50100000,2010
Faster,24000000,23240020,35792945,2010,Faster,23200000.0,12400000,2010
Tangled,260000000,200821936,586477240,2010,Tangled,200800000.0,391000000,2010
The Next Three Days,30000000,21148651,67255916,2010,The Next Three Days,21100000.0,46300000,2010
Made in Dagenham,8000000,1095369,15644196,2010,Made in Dagenham,1100000.0,11300000,2010
Unstoppable,95000000,81562942,165720921,2010,Unstoppable,81600000.0,86200000,2010
Skyline,10000000,21416355,68264973,2010,Skyline,21400000.0,45400000,2010
Morning Glory,40000000,31011732,59795070,2010,Morning Glory,31000000.0,29000000,2010
127 Hours,18000000,18335230,60217171,2010,127 Hours,18300000.0,42400000,2010
Megamind,130000000,148415853,321887208,2010,Megamind,148400000.0,173500000,2010
For Colored Girls,21000000,37729698,38017873,2010,For Colored Girls,37700000.0,17300,2010
Four Lions,3750000,310007,2436111,2010,Four Lions,305000.0,4400000,2010
Due Date,65000000,100539043,211739043,2010,Due Date,100500000.0,111200000,2010
Monsters,500000,237301,5639730,2010,Monsters,237000.0,4000000,2010
Welcome to the Rileys,10000000,152857,355919,2010,Welcome to the Rileys,159000.0,158000,2010
Saw 3D,17000000,45710178,133735284,2010,Saw 3D,45700000.0,90400000,2010
Wild Target,8000000,109338,5314194,2010,Wild Target,109000.0,3300000,2010
Paranormal Activity 2,3000000,84752907,177512032,2010,Paranormal Activity 2,84800000.0,92800000,2010
Carlos,18000000,145526,1619153,2010,Carlos,146000.0,726000,2010
Red,60000000,90380162,196439693,2010,Red,90400000.0,108600000,2010
Hereafter,50000000,32746941,108660270,2010,Hereafter,32700000.0,72500000,2010
Conviction,12500000,6797696,11826980,2010,Conviction,6800000.0,2900000,2010
Secretariat,35000000,59699513,60376247,2010,Secretariat,59700000.0,537000,2010
I Spit on Your Grave,1750000,93051,1278471,2010,I Spit on Your Grave,93100.0,480000,2010
Stone,22000000,1810078,4065020,2010,Stone,1800000.0,7700000,2010
Life as We Know It,38000000,53374681,105887837,2010,Life as We Know It,53400000.0,52300000,2010
It's Kind of a Funny Story,8000000,6363628,6632950,2010,It's Kind of a Funny Story,6400000.0,128000,2010
My Soul to Take,25000000,14744435,16727470,2010,My Soul to Take,14700000.0,6200000,2010
Inside Job,2000000,4311834,7799257,2010,Inside Job,4300000.0,3600000,2010
Nowhere Boy,1900000,1445366,7785229,2010,Nowhere Boy,1500000.0,5100000,2010
Case 39,27000000,13261851,28773827,2010,Case 39,13300000.0,14900000,2010
Chain Letter,3000000,205842,1022453,2010,Chain Letter,139000.0,447000,2010
Freakonomics,2900000,101270,172867,2010,Freakonomics,101000.0,16400,2010
The Social Network,40000000,96962694,224922135,2010,The Social Network,97000000.0,128000000,2010
Let Me In,20000000,12134935,28270399,2010,Let Me In,12100000.0,12000000,2010
Buried,1987650,1044143,21270290,2010,Buried,1000000.0,18100000,2010
Enter the Void,16000000,337997,1467278,2010,Enter the Void,336000.0,418000,2010
Legend of the Guardians: The Owls of Ga'Hoole,100000000,55675313,139716717,2010,Legend of the Guardians: The Owls of Ga'Hoole,55700000.0,84400000,2010
You Again,20000000,25702053,32838945,2010,You Again,25700000.0,6300000,2010
You Will Meet a Tall Dark Stranger,15000000,3247816,34247816,2010,You Will Meet a Tall Dark Stranger,3200000.0,31000000,2010
The Town,37000000,92186262,152566881,2010,The Town,92200000.0,61800000,2010
Easy A,8000000,58401464,76200721,2010,Easy A,58400000.0,16600000,2010
Devil,10000000,33679655,63354114,2010,Devil,33600000.0,29100000,2010
Never Let Me Go,15000000,2434652,11173718,2010,Never Let Me Go,2400000.0,7000000,2010
Resident Evil: Afterlife,57500000,60128566,295874190,2010,Resident Evil: Afterlife,60100000.0,240100000,2010
"Lovely, Still",5000000,127564,282687,2010,"Lovely, Still",128000.0,106000,2010
Machete,12500000,26593646,46370970,2010,Machete,26600000.0,17500000,2010
Going the Distance,32000000,17804299,43603990,2010,Going the Distance,17800000.0,24200000,2010
The American,20000000,35606376,67950723,2010,The American,35600000.0,32299999,2010
Takers,32000000,57744720,70587268,2010,Takers,57700000.0,11300000,2010
The Last Exorcism,1800000,41034350,70165900,2010,The Last Exorcism,41000000.0,26700000,2010
Centurion,15000000,123570,7885048,2010,Centurion,124000.0,6700000,2010
Piranha 3D,24000000,25003155,83660160,2010,Piranha 3D,25000000.0,58200000,2010
Mao's Last Dancer,18000000,4806750,25941437,2010,Mao's Last Dancer,4800000.0,17500000,2010
Soul Kitchen,4900000,276901,23347461,2010,Soul Kitchen,277000.0,17600000,2010
The Switch,19000000,27758465,49858465,2010,The Switch,27800000.0,22100000,2010
Vampires Suck,20000000,36661504,81424988,2010,Vampires Suck,36700000.0,43900000,2010
Eat Pray Love,60000000,80574010,206598789,2010,Eat Pray Love,80600000.0,124000000,2010
The Expendables,82000000,103068524,268268174,2010,The Expendables,103100000.0,171400000,2010
Animal Kingdom,4200000,1044039,8078683,2010,Animal Kingdom,1000000.0,5700000,2010
The Disappearance of Alice Creed,1500000,166980,1605139,2010,The Disappearance of Alice Creed,167000.0,701000,2010
The Other Guys,100000000,119219978,170936470,2010,The Other Guys,119200000.0,51200000,2010
Cats & Dogs: The Revenge of Kitty Galore,85000000,43585753,113026383,2010,Cats & Dogs: The Revenge of Kitty Galore,43600000.0,68900000,2010
Get Low,7000000,9176933,10828305,2010,Get Low,9200000.0,518000,2010
Charlie St. Cloud,44000000,31206263,48478084,2010,Charlie St. Cloud,31200000.0,17000000,2010
Dinner for Schmucks,69000000,73026337,86796502,2010,Dinner for Schmucks,73000000.0,13800000,2010
The Extra Man,7000000,453377,492108,2010,The Extra Man,453000.0,4500,2010
Ramona and Beezus,15000000,26167002,27469621,2010,Ramona and Beezus,26200000.0,1100000,2010
Life During Wartime,4500000,281447,281447,2010,Life During Wartime,281000.0,487000,2010
Salt,130000000,118311368,290650494,2010,Salt,118300000.0,175200000,2010
Inception,160000000,292576195,835524642,2010,Inception,292600000.0,535700000,2010
The Sorcerer's Apprentice,160000000,63150991,217986320,2010,The Sorcerer's Apprentice,63200000.0,152100000,2010
Predators,40000000,52000688,127234389,2010,Predators,52000000.0,75200000,2010
The Kids Are All Right,4000000,20811365,36275469,2010,The Kids Are All Right,20800000.0,13900000,2010
Despicable Me,69000000,251513985,543464573,2010,Despicable Me,251500000.0,291600000,2010
[Rec] 2,5600000,27766,18527766,2010,[Rec] 2,27800.0,18500000,2010
The Last Airbender,150000000,131772187,319713881,2010,The Last Airbender,131800000.0,187900000,2010
The Twilight Saga: Eclipse,68000000,300531751,706102828,2010,The Twilight Saga: Eclipse,300500000.0,398000000,2010
Grown Ups,75000000,162001186,272223430,2010,Grown Ups,162000000.0,109400000,2010
Cyrus,7000000,7468936,10062896,2010,Cyrus,7500000.0,2500000,2010
Toy Story 3,200000000,415004880,1068879522,2010,Toy Story 3,415000000.0,652000000,2010
Jonah Hex,47000000,10547117,11022696,2010,Jonah Hex,10500000.0,356000,2010
The Killer Inside Me,13000000,217277,3617277,2010,The Killer Inside Me,217000.0,3800000,2010
The A-Team,110000000,77222099,177241171,2010,The A-Team,77200000.0,100000000,2010
The Karate Kid,40000000,176591618,351774938,2010,The Karate Kid,176600000.0,182500000,2010
The Karate Kid,8000000,90815558,90815558,1984,The Karate Kid,176600000.0,182500000,2010
Winter's Bone,2000000,6531503,16131551,2010,Winter's Bone,6500000.0,7300000,2010
